Тимур
Гулямов
ae4c54dcfff7576b9c78abc055ba50ab
[27.4.2023 | 2:27:29] {"type":"cmd","data":"run"}
,[27.4.2023 | 2:27:29] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:29] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:29] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:29] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:29] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:30] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[27.4.2023 | 2:27:31] {"client-id":"229b4922-d19b-4a13-9c39-e7c60b51cc4f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
